method,site,type,lat,transect,diver,life.history,species,percent.of.cover,l,w,area,pale,bleached,total.pb,percent.pb,new,trans,old,total.mort,percent.mort,disease,percentdisease
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.9,12.65625,11.25,142.3828125,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,40,43.15789474,1726.31579,0,0,0,0,0.8,0,0,18,80,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.9,25.71428571,27.85714286,716.3265306,0,0,0,0,0.4,0,0,10,40,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.7,12.5,11.66666667,145.8333334,0,0,0,0,0.75,0,0,17,75,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,11.42857143,12.38095238,141.4965986,0,0,0,0,0.4,0,0,10,40,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.9,12.85714286,13.92857143,179.0816327,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PPOR,0.7,9.722222222,5.833333333,56.71296296,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,UAGA,0.85,4.722222222,7.083333333,33.44907407,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,8.888888889,6.666666667,59.25925926,0,0,0,0,0.2,0,0,6,20,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,MCAV,0.9,12.5,17.5,218.75,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.7,9.333333333,3.5,32.66666667,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,ALAM,0.7,29.47368421,5.526315789,162.8808864,0,0,0,0,0.5,0,0,12,50,0,0
Video,1,Back Reef,3,3,4,Weedy,PAST,0.7,3.684210526,23.94736842,88.2271468,0,0,0,0,0.5,0,0,12,50,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.4,7.058823529,6.470588235,45.67474048,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.6,11.84210526,15,177.6315789,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Generalist,OFAV,0.9,16.25,7.5,121.875,0,0.05,0.05,5,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.7,21.875,12.03125,263.1835938,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.5,6.818181818,3.409090909,23.24380165,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,OANN,0.7,7.954545455,17.5,139.2045455,0,0,0,0,0.4,0,0,10,40,0,0
